# This is the list of things which can be placed in a Hexen map.
# The list doesn't need to be in any particular order, tkwadcad
# will sort it by name.
#
# I don't know about height and radius of things in Hexen, so
# all values just are 0 until I figure them out. Many sprite
# names are missing, I have no idea what all that stuff is,
# have to figure it out sometime.
#
#ID	Height	Radius	Sprite		Class	Description
76	0	0	-		Deco	: Gargoyle Ice Short
73	0	0	-		Deco	: Gargoyle Ice Tall
8050	0	0	-		Deco	: Gargoyle Lava Bright Short
8046	0	0	-		Deco	: Gargoyle Lava Bright Tall
8049	0	0	-		Deco	: Gargoyle Lava Dark Short
8045	0	0	-		Deco	: Gargoyle Lava Dark Tall
74	0	0	-		Deco	: Gargoyle Portal Short
72	0	0	-		Deco	: Gargoyle Portal Tall
8052	0	0	-		Deco	: Gargoyle Stl Short
8048	0	0	-		Deco	: Gargoyle Stl Tall
88	0	0	logga0		Deco	: Log
58	0	0	mss1a0		Deco	: Moss 1
59	0	0	mss2a0		Deco	: Moss 2
37	0	0	stm1a0		Deco	: Stump 1
38	0	0	stm2a0		Deco	: Stump 2
27	0	0	-		Deco	: Tree 1
26	0	0	-		Deco	: Tree 2
60	0	0	-		Deco	: Vine
99	0	0	rkbka0		Deco	: Rock Black
97	0	0	rkbla0		Deco	: Rock Brown Large
98	0	0	rkbsa0		Deco	: Rock Brown Small
9003	0	0	-		Deco	: Big Gem
9007	0	0	artibok1	Deco	: Book 1
9008	0	0	artibok2	Deco	: Book 2
9016	0	0	-		Deco	: C Weapon
9015	0	0	-		Deco	: F Weapon
9018	0	0	-		Deco	: Gear
9019	0	0	-		Deco	: Gear 2
9020	0	0	-		Deco	: Gear 3
9021	0	0	-		Deco	: Gear 4
9006	0	0	-		Deco	: Gem Blue 1
9010	0	0	-		Deco	: Gem Blue 2
9005	0	0	-		Deco	: Gem Green 1
9009	0	0	-		Deco	: Gem Green 2
9012	0	0	-		Deco	: Gem Pedestal
9004	0	0	-		Deco	: Gem Red
9017	0	0	-		Deco	: M Weapon
9002	0	0	-		Deco	: Skull
9014	0	0	-		Deco	: Skull 2
9011	0	0	-		Deco	: Winged Statue No Skull
